Freq [GHz],"re(St(M4_p_T1,M4_p_T1)) []","im(St(M4_p_T1,M4_p_T1)) []","re(St(M4_p_T1,M4_n_T1)) []","im(St(M4_p_T1,M4_n_T1)) []","re(St(M4_p_T1,M3_p_T1)) []","im(St(M4_p_T1,M3_p_T1)) []","re(St(M4_p_T1,M3_n_T1)) []","im(St(M4_p_T1,M3_n_T1)) []","re(St(M4_n_T1,M4_p_T1)) []","im(St(M4_n_T1,M4_p_T1)) []","re(St(M4_n_T1,M4_n_T1)) []","im(St(M4_n_T1,M4_n_T1)) []","re(St(M4_n_T1,M3_p_T1)) []","im(St(M4_n_T1,M3_p_T1)) []","re(St(M4_n_T1,M3_n_T1)) []","im(St(M4_n_T1,M3_n_T1)) []","re(St(M3_p_T1,M4_p_T1)) []","im(St(M3_p_T1,M4_p_T1)) []","re(St(M3_p_T1,M4_n_T1)) []","im(St(M3_p_T1,M4_n_T1)) []","re(St(M3_p_T1,M3_p_T1)) []","im(St(M3_p_T1,M3_p_T1)) []","re(St(M3_p_T1,M3_n_T1)) []","im(St(M3_p_T1,M3_n_T1)) []","re(St(M3_n_T1,M4_p_T1)) []","im(St(M3_n_T1,M4_p_T1)) []","re(St(M3_n_T1,M4_n_T1)) []","im(St(M3_n_T1,M4_n_T1)) []","re(St(M3_n_T1,M3_p_T1)) []","im(St(M3_n_T1,M3_p_T1)) []","re(St(M3_n_T1,M3_n_T1)) []","im(St(M3_n_T1,M3_n_T1)) []"
10,0.00267513340159,-0.007343444100326,0.988951412047594,-0.094528256069571,0.002833542055925,0.025621247747004,0.00599738826374,0.052558217893394,0.988951412047594,-0.094528256069571,0.002657195676479,-0.007327726377975,0.005999408082139,0.052557029712249,0.002843052303461,0.025607321313478,0.002833542055925,0.025621247747004,0.005999408082139,0.052557029712249,0.00465092820122,-0.015618198690243,0.98474978098659,-0.105449880949399,0.00599738826374,0.052558217893394,0.002843052303461,0.025607321313478,0.98474978098659,-0.105449880949399,0.00464683920185,-0.015606293605147
11,0.002392073779959,-0.008217776202164,0.987480249618219,-0.103779423427228,0.003500898539889,0.028179977325574,0.007191618233582,0.057742883715062,0.987480249618218,-0.103779423427228,0.002371803151192,-0.008199765642321,0.007194153023572,0.057741540941737,0.003511071739378,0.028164098043238,0.003500898539889,0.028179977325574,0.007194153023574,0.057741540941738,0.004125318433691,-0.017311560856452,0.983044758311708,-0.115773278140058,0.007191618233582,0.057742883715062,0.003511071739378,0.028164098043238,0.983044758311711,-0.115773278140057,0.004121905482742,-0.017298220345289
12,0.002055157953639,-0.009101094595868,0.985889106510843,-0.113007273544643,0.004237264732709,0.030733666182255,0.008496883812842,0.062911429959481,0.985889106510842,-0.113007273544642,0.002032359701288,-0.009080837877367,0.008499987412019,0.062909901759712,0.004248088557537,0.030715881401369,0.004237264732709,0.030733666182255,0.008499987412022,0.062909901759713,0.003521873961239,-0.019003989345271,0.981201356197693,-0.126072836605657,0.008496883812843,0.062911429959481,0.004248088557537,0.030715881401369,0.981201356197697,-0.126072836605656,0.00351916839282,-0.018989383827277
13,0.00166454749839,-0.009990689548206,0.984176887547057,-0.122210938295476,0.005043121034102,0.033281028337972,0.009913558109747,0.068062825087398,0.984176887547055,-0.122210938295475,0.001638990957898,-0.009968211362507,0.009917281243422,0.068061078188326,0.005054616638946,0.033261391388357,0.005043121034102,0.033281028337972,0.009917281243425,0.068061078188327,0.002841984786285,-0.020692313254448,0.979217258016239,-0.13634859106262,0.009913558109748,0.068062825087398,0.005054616638946,0.033261391388357,0.979217258016245,-0.136348591062621,0.002839980103909,-0.020676587533322
14,0.00122044984387,-0.010884389132681,0.982342856466884,-0.131389333677813,0.005918893163017,0.035820806742721,0.011442063109711,0.073195915809626,0.982342856466882,-0.131389333677811,0.001191879774672,-0.010859688102719,0.011446453855451,0.073193914994285,0.005931111686789,0.035799367287858,0.005918893163017,0.035820806742721,0.011446453855455,0.073193914994286,0.002086879960927,-0.022374068205727,0.977090418209519,-0.146599865921517,0.011442063109712,0.073195915809626,0.005931111686789,0.035799367287858,0.977090418209526,-0.146599865921519,0.002085544821809,-0.022357340824621
15,0.000723016055756,-0.011780415069197,0.980386528136002,-0.140541280684648,0.006864977144326,0.0383517722548,0.013082847443015,0.078309442330818,0.980386528136,-0.140541280684646,0.000691161619957,-0.011753462943448,0.013087951645393,0.078307150698873,0.006877994766385,0.038328569479026,0.006864977144326,0.0383517722548,0.013087951645398,0.078307150698873,0.001257558081934,-0.024047279390137,0.97481907541576,-0.156825498963121,0.013082847443016,0.078309442330818,0.006877994766385,0.038328569479026,0.974819075415768,-0.156825498963124,0.001256845524151,-0.024029644390205
16,0.000172292812125,-0.012677262895525,0.978307580623588,-0.149665566937871,0.007881758418874,0.040872717443539,0.014836372856939,0.083402052256242,0.978307580623586,-0.149665566937868,0.00013687429266,-0.012648005476436,0.014842234461979,0.083399431333147,0.007895670997552,0.040847775676354,0.007881758418874,0.040872717443539,0.014842234461985,0.083399431333146,0.000354771857369,-0.025710297903395,0.972401729229586,-0.167023996216933,0.01483637285694,0.083402052256242,0.007895670997552,0.040847775676354,0.972401729229594,-0.167023996216937,0.000354625619822,-0.025691827472074
17,-0.000431793179022,-0.013573608152169,0.976105788207196,-0.158760973728343,0.008969625576214,0.043382447725848,0.016703106416861,0.088472311991368,0.976105788207196,-0.15876097372834,-0.000471059524414,-0.013541966999081,0.01670976772275,0.088469321745621,0.008984543500947,0.043355773977713,0.008969625576214,0.043382447725848,0.016709767722756,0.088469321745619,-0.00062095989065,-0.027361681108088,0.969837103630069,-0.177193636422109,0.016703106416861,0.088472311991367,0.008984543500947,0.043355773977713,0.969837103630077,-0.177193636422114,-0.000620601140215,-0.027342428335446
18,-0.001089432675615,-0.014468235721508,0.973780972645486,-0.167826283442847,0.010128979583867,0.045879771495848,0.018683516259334,0.093518715422512,0.973780972645486,-0.167826283442843,-0.001132831185387,-0.014434110076423,0.018691018092019,0.09351531423113,0.01014502317275,0.045851354390176,0.010128979583867,0.045879771495849,0.018691018092025,0.093515314231128,-0.001669328029473,-0.029000106773351,0.967124108486081,-0.18733254001695,0.018683516259335,0.093518715422512,0.01014502317275,0.045851354390176,0.967124108486089,-0.187332540016956,-0.001668527903471,-0.028980108161126
19,-0.001800922273681,-0.015359988038198,0.971332969188643,-0.17686027636525,0.011360239452398,0.048363490253352,0.020778069404792,0.098539690112687,0.971332969188643,-0.176860276365247,-0.001848735490196,-0.015323256684787,0.020786451230971,0.098535834700465,0.011377535025716,0.048333299915104,0.011360239452398,0.048363490253352,0.020786451230977,0.098535834700461,-0.002790204981116,-0.030624312090612,0.964261804263934,-0.197438713744886,0.020778069404792,0.098539690112686,0.011377535025716,0.048333299915104,0.964261804263941,-0.197438713744893,-0.002789027535664,-0.030603589688861
