frequency,s11_real,s11_imag,s12_real,s12_imag,s13_real,s13_imag,s14_real,s14_imag,s21_real,s21_imag,s22_real,s22_imag,s23_real,s23_imag,s24_real,s24_imag,s31_real,s31_imag,s32_real,s32_imag,s33_real,s33_imag,s34_real,s34_imag,s41_real,s41_imag,s42_real,s42_imag,s43_real,s43_imag,s44_real,s44_imag
10,-0.9081211941744607,0.20612868699687492,0.06540617076121757,0.11428717798202487,-0.058543034642305064,-0.11240196869688429,-0.05431340352533468,-0.09685887933100652,0.06540617076131942,0.11428717798210764,-0.9081179106837451,0.20615956477502023,-0.0543270115118501,-0.09681742873007505,-0.058580903070658434,-0.1123883645406071,-0.05854303464260233,-0.11240196869659495,-0.054327011512135245,-0.09681742872978577,-0.8877895179327545,0.21324701791666223,0.06742243760401972,0.11730609973756317,-0.0543134035256379,-0.09685887933070149,-0.0585809030709508,-0.11238836454030235,0.06742243760408889,0.11730609973760113,-0.887804536611403,0.21323819620479703
11,-0.8986192636883015,0.22278658307305316,0.07354139707653334,0.12262801835350402,-0.06676843533874574,-0.12062617667425114,-0.06215321236075215,-0.10369875424330297,0.07354139707667229,0.12262801835356213,-0.8986132585027028,0.22281746971308164,-0.06216628517865547,-0.10365276045568428,-0.06680898878226846,-0.12061085503453649,-0.06676843533896046,-0.12062617667387047,-0.0621662851788567,-0.10365276045530812,-0.8776674894289477,0.23038959847558327,0.07589995417805395,0.12611740121087306,-0.06215321236096896,-0.10369875424290163,-0.06680898878247299,-0.12061085503413947,0.07589995417814305,0.12611740121089096,-0.8776868144071179,0.23038304376888147
12,-0.8886545729058515,0.23890209582996003,0.0821213347088235,0.13044060222471668,-0.07546133229523991,-0.12830751798561896,-0.07044606636585002,-0.11000226037100001,0.08212133470898628,0.13044060222473924,-0.8886469899005889,0.2389317422207366,-0.07045835951672055,-0.10995153547854769,-0.07550461174365106,-0.12828944998816172,-0.07546133229534865,-0.12830751798518936,-0.07045835951681638,-0.10995153547812676,-0.867051697843189,0.24695244099782152,0.08488265208807697,0.13436670629058817,-0.07044606636595561,-0.1100022603705462,-0.07550461174374494,-0.12828944998771613,0.08488265208817589,0.13436670629058034,-0.8670746182809649,0.24694900127539654
13,-0.8782447948106475,0.25445889532396315,0.09111878075429564,0.1377045708051471,-0.0845901768286364,-0.13542392055533486,-0.07915898763211608,-0.11574626591942519,0.09111878075446693,0.13770457080512946,-0.878237091588678,0.25448662889309853,-0.07917022680983012,-0.11569068016820844,-0.08463587462072737,-0.13540220689134597,-0.08459017682863644,-0.13542392055489658,-0.07917022680981903,-0.11569068016778258,-0.8559616600934685,0.26291985271275786,0.09433672238727205,0.14203107761893988,-0.07915898763210596,-0.11574626591896102,-0.08463587462070707,-0.13540220689089352,0.09433672238737195,0.1420310776189036,-0.8559874017308479,0.26292003717184165
14,-0.8674122781194149,0.26944000301280946,0.10050334317534279,0.1444005046929189,-0.09412086442514103,-0.1419553111181821,-0.08825655243377413,-0.12090999342426492,0.10050334317551245,0.14440050469286084,-0.8674059707682238,0.2694657005259181,-0.08826645399596407,-0.12084946808200747,-0.09416843648923373,-0.14192925857918207,-0.09412086442504199,-0.14195531111776805,-0.08826645399585689,-0.1208494680816098,-0.844421171125808,0.2782752740303958,0.10422612187925205,0.14908926171243242,-0.08825655243365876,-0.12090999342382651,-0.0941684364891112,-0.14192925857875907,0.10422612187934135,0.14908926171237072,-0.8444490132904862,0.27827932382067605
15,-0.8561833174269013,0.2838289569443322,0.11024198547252823,0.15051066528692614,-0.10401733274030847,-0.14788395101314922,-0.09770151952077023,-0.12547528786790804,0.11024198547268274,0.15051066528683238,-0.8561798058440512,0.2838529512872472,-0.09770980271470017,-0.12540978437345368,-0.10406610196136278,-0.14785309880782824,-0.10401733274012874,-0.1478839510127835,-0.09770980271451629,-0.12540978437310554,-0.8324577445964777,0.293002421315243,0.11451292235893518,0.1555221951493622,-0.09770151952056821,-0.12547528786751988,-0.10406610196115741,-0.1478530988074567,0.1145129223590102,0.15552219514928203,-0.8324870803161065,0.2930103959742977
16,-0.8445874306951128,0.2976106633993716,0.12029957480638705,0.15601950973076842,-0.11424205610610999,-0.15319465189234616,-0.10745533615337613,-0.12942676464714242,0.12029957480651748,0.15601950973064574,-0.8445878949664315,0.29763362743618926,-0.10746172859526981,-0.12935627377934697,-0.11429129715599459,-0.15315876526394145,-0.11424205610587171,-0.15319465189204404,-0.10746172859503099,-0.129356273779063,-0.8201020092737983,0.3070861650107071,0.12515770933079634,0.16131336258127937,-0.10745533615310994,-0.12942676464682157,-0.1142912971557285,-0.15315876526363773,0.12515770933085132,0.1613133625811856,-0.8201323628357868,0.3070980220564403
17,-0.8326566686671389,0.3107719865697426,0.13063940735217752,0.16091402458650161,-0.12475647073735721,-0.15787490640664478,-0.11747856055057856,-0.13275188126247808,0.13063940735228133,0.16091402458635903,-0.8326620201996034,0.31079481874836523,-0.11748279906877257,-0.1326764143039218,-0.12480547405819248,-0.15783395129797942,-0.124756470737083,-0.1578749064064138,-0.11748279906850104,-0.132676414303708,-0.8073870942090308,0.3205131638551915,0.13611999090393978,0.16644902360650568,-0.11747856055027256,-0.13275188126223364,-0.12480547405788989,-0.1578339512977508,0.13611999090397223,0.16644902360640465,-0.8074181114719037,0.32052882159676355
18,-0.820424976979428,0.32330213113013784,0.14122369454073694,0.1651839201122728,-0.13552134943340804,-0.16191495500870556,-0.12773122505698156,-0.13544095660431496,0.14122369454081027,0.1651839201121167,-0.8204358482124202,0.323325855164361,-0.12773305387432116,-0.1353605392200306,-0.13556946583058366,-0.1618690635428217,-0.13552134943311694,-0.1619149550085432,-0.12773305387403597,-0.13536053921988422,-0.794348035074671,0.33327229407748526,0.14735859191720607,0.17091833341370405,-0.12773122505665574,-0.1354409566041437,-0.13556946583026422,-0.16186906354266534,0.14735859191721806,0.17091833341360163,-0.7943794591026885,0.3332916752645306
19,-0.8079276219626416,0.3351928670025451,0.15201400270701054,0.16882172003763307,-0.14649713646689805,-0.16530780295510242,-0.138173155144588,-0.13748715158937722,0.1520140027070528,0.16882172003747237,-0.8079443811471494,0.3352185504406628,-0.1381723229505108,-0.1374018203771078,-0.14654380534621925,-0.1652572361635356,-0.14649713646660623,-0.16530780295500466,-0.13817232295022785,-0.13740182037702448,-0.7810212229714063,0.3453549157282988,0.1588320198705818,0.1747133814186458,-0.13817315514426087,-0.1374871515892772,-0.14654380534590128,-0.16525723616344892,0.15883201987057194,0.1747133814185467,-0.7810528640413037,0.34537797359830963
